total_prior_arrests,total_convictions,is_repeat_offender,is_rowdy_sheeter,recidivism_risk_score
5,1,1,1,0.91
4,0,1,0,0.87
0,0,0,0,0.45
2,0,1,0,0.82
0,0,0,0,0.31
0,0,0,0,0.29
0,0,0,0,0.32
0,0,0,0,0.28
0,0,0,0,0.33
0,0,0,0,0.27
0,0,0,0,0.30
0,0,0,0,0.31
0,0,0,0,0.29
0,0,0,0,0.32
1,0,0,0,0.35
1,0,0,0,0.33
1,0,0,0,0.36
1,0,0,0,0.32
1,0,0,0,0.34
1,1,0,0,0.40
1,1,0,0,0.38
1,1,0,0,0.41
1,1,0,0,0.37
1,1,0,0,0.39
2,0,1,0,0.53
2,0,1,0,0.51
2,0,1,0,0.54
2,0,1,0,0.50
2,0,1,0,0.52
2,1,1,0,0.59
2,1,1,0,0.57
2,1,1,0,0.60
2,1,1,0,0.56
2,1,1,0,0.58
2,2,1,0,0.64
2,2,1,0,0.62
2,2,1,0,0.65
2,2,1,0,0.61
2,2,1,0,0.63
3,0,1,0,0.57
3,0,1,0,0.55
3,0,1,0,0.58
3,0,1,0,0.54
3,0,1,0,0.56
3,1,1,0,0.62
3,1,1,0,0.60
3,1,1,0,0.63
3,1,1,0,0.59
3,1,1,0,0.61
3,2,1,0,0.68
3,2,1,0,0.66
3,2,1,0,0.69
3,2,1,0,0.65
3,2,1,0,0.67
3,3,1,0,0.73
3,3,1,0,0.71
3,3,1,0,0.74
3,3,1,0,0.70
3,3,1,0,0.72
4,0,1,0,0.60
4,0,1,0,0.58
4,0,1,0,0.61
4,0,1,0,0.57
4,0,1,0,0.59
4,1,1,0,0.65
4,1,1,0,0.63
4,1,1,0,0.66
4,1,1,0,0.62
4,1,1,0,0.64
4,2,1,0,0.70
4,2,1,0,0.68
4,2,1,0,0.71
4,2,1,0,0.67
4,2,1,0,0.69
4,3,1,0,0.76
4,3,1,0,0.74
4,3,1,0,0.77
4,3,1,0,0.73
4,3,1,0,0.75
4,4,1,0,0.81
4,4,1,0,0.79
4,4,1,0,0.82
4,4,1,0,0.78
4,4,1,0,0.80
5,0,1,0,0.63
5,0,1,0,0.61
5,0,1,0,0.64
5,0,1,0,0.60
5,0,1,0,0.62
5,1,1,1,0.80
5,1,1,1,0.78
5,1,1,1,0.81
5,1,1,1,0.77
5,1,1,1,0.79
5,2,1,1,0.86
5,2,1,1,0.84
5,2,1,1,0.87
5,2,1,1,0.83
5,2,1,1,0.85
5,3,1,1,0.91
